id,name,gender,presença_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,salario_bruto,salario_bruto_par,quant_viagem,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par ,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
204388,Bibo Nunes (PL-RS),M,90 dias,2 dias,0 dias,33 reuniões,2 reuniões,21 reuniões,09/01/1957,"R$ 33.763,00",,0,"
		                		
			                	R$ 442.619,00","R$ 36.377,50","R$ 114.136,35","R$ 111.815,04","R$ 46.216,96","R$ 43.243,88","R$ 31.393,94","R$ 31.363,41","R$ 21.004,27","R$ 5.421,62","R$ 1.646,03",,,,"107.838,27","106.661,35","107.626,01","107.100,08","108.678,71","110.863,76","102.938,79","80.792,43","71.989,13","73.592,08",0,0
109429,Benes Leocádio (UNIAO-RN),M,88 dias,3 dias,1 dias,35 reuniões,2 reuniões,6 reuniões,22/04/1966,"R$ 33.763,00",,0,"
		                		
			                	R$ 352.784,66","R$ 32.697,33","R$ 37.181,80","R$ 51.640,86","R$ 47.232,83","R$ 43.851,34","R$ 39.594,20","R$ 33.482,93","R$ 21.709,18","R$ 17.997,68","R$ 27.006,51","R$ 390,00",,,"110.203,77","110.203,77","106.658,99","104.203,11","106.527,95","105.841,47","105.921,33","105.964,18","107.249,74","107.227,43",0,0
204455,Luiz Lima (PL-RJ),M,92 dias,0 dias,0 dias,58 reuniões,0 reuniões,1 reuniões,10/12/1977,"R$ 33.763,00",,0,"
		                		
			                	R$ 270.984,21","R$ 31.403,73","R$ 29.475,83","R$ 44.044,70","R$ 36.275,81","R$ 37.791,57","R$ 25.474,97","R$ 22.228,02","R$ 13.587,63","R$ 12.264,36","R$ 18.437,59",,,,"111.586,85","109.394,70","110.910,09","111.665,82","111.665,82","111.665,82","111.338,69","111.132,04","111.132,04","104.252,59",0,0
204408,Gustinho Ribeiro (REPUBLICANOS-SE),M,76 dias,10 dias,6 dias,9 reuniões,3 reuniões,17 reuniões,16/02/1982,"R$ 33.763,00",,0,"
		                		
			                	R$ 356.515,99","R$ 7.595,71","R$ 72.060,11","R$ 19.440,13","R$ 61.050,02","R$ 53.501,99","R$ 62.592,98","R$ 9.368,45","R$ 5.296,21","R$ 4.189,16","R$ 61.421,23",,,,"111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61","111.671,61",0,0
160610,Valmir Assunção (PT-BA),M,83 dias,7 dias,2 dias,13 reuniões,2 reuniões,9 reuniões,17/12/1964,"R$ 33.763,00",,0,"
		                		
			                	R$ 363.239,05","R$ 44.395,14","R$ 46.537,39","R$ 44.131,60","R$ 48.258,75","R$ 36.050,94","R$ 38.814,68","R$ 34.071,61","R$ 34.806,12","R$ 17.856,95","R$ 18.203,94","R$ 111,93",,,"111.617,19","111.617,19","111.476,50","111.617,19","111.617,19","110.585,18","104.425,66","106.305,67","111.392,75","111.392,75",0,0
160556,Padre João (PT-MG),M,89 dias,0 dias,3 dias,104 reuniões,0 reuniões,16 reuniões,28/02/1967,"R$ 33.763,00",,0,"
		                		
			                	R$ 339.556,48","R$ 18.732,03","R$ 37.477,94","R$ 36.322,55","R$ 44.831,86","R$ 54.192,78","R$ 54.866,82","R$ 25.266,73","R$ 20.811,94","R$ 30.550,84","R$ 16.502,99",,,,"111.635,71","111.635,71","111.635,71","111.621,16","111.599,34","111.599,34","111.599,34","110.786,91","111.599,34","111.650,98",0,0
150418,Márcio Marinho (REPUBLICANOS-BA),M,74 dias,11 dias,7 dias,21 reuniões,5 reuniões,6 reuniões,12/12/1970,"R$ 33.763,00",,,"
		                		
			                	R$ 377.422,20","R$ 28.608,42","R$ 24.612,71","R$ 87.100,11","R$ 35.803,17","R$ 42.787,11","R$ 34.980,07","R$ 29.850,24","R$ 23.287,44","R$ 13.207,27","R$ 54.226,75","R$ 2.958,91",,,"111.538,42","111.538,42","111.538,42","111.538,42","111.304,79","104.295,83","108.413,15","103.411,20","97.135,73","95.876,46",0,0
107283,Gleisi Hoffmann (PT-PR),F,66 dias,26 dias,0 dias,3 reuniões,1 reuniões,4 reuniões,06/09/1965,"R$ 33.763,00",,0,"
		                		
			                	R$ 373.767,14","R$ 48.759,04","R$ 47.652,40","R$ 59.416,08","R$ 55.375,62","R$ 43.129,42","R$ 20.852,42","R$ 26.211,68","R$ 23.293,93","R$ 17.899,82","R$ 29.734,54","R$ 1.442,19",,,"111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","111.526,42","111.526,42",0,0
141431,Fernando Coelho Filho (UNIAO-PE),M,81 dias,5 dias,6 dias,6 reuniões,4 reuniões,39 reuniões,28/02/1984,"R$ 33.763,00",,0,"
		                		
			                	R$ 289.091,64","R$ 32.904,38","R$ 35.321,53","R$ 50.966,51","R$ 42.640,35","R$ 22.991,65","R$ 38.141,86","R$ 34.943,44","R$ 7.902,03","R$ 1.571,47","R$ 20.930,42","R$ 778,00",,,"106.461,21","106.461,21","106.461,21","106.461,21","107.548,75","111.277,47","111.277,47","110.295,40","110.786,15","110.786,15",0,0
213274,Ricardo Silva (PSD-SP),M,89 dias,0 dias,3 dias,51 reuniões,0 reuniões,14 reuniões,01/09/1985,"R$ 33.763,00",,0,"
		                		
			                	R$ 309.195,05","R$ 46.869,46","R$ 45.084,75","R$ 39.767,27","R$ 27.339,96","R$ 44.758,85","R$ 31.421,18","R$ 25.575,18","R$ 20.837,80","R$ 14.187,11","R$ 11.911,55","R$ 1.441,94",,,"110.579,85","110.579,85","111.362,96","111.416,97","111.416,97","111.416,97","111.416,97","111.416,97","111.416,97","111.416,97",0,0
178908,Delegado Éder Mauro (PL-PA),M,79 dias,3 dias,10 dias,4 reuniões,0 reuniões,12 reuniões,14/12/1960,"R$ 33.763,00",,,"
		                		
			                	R$ 325.195,22","R$ 46.351,28","R$ 56.697,20","R$ 17.871,34","R$ 52.514,33","R$ 52.104,65","R$ 51.446,49","R$ 39.019,70","R$ 6.514,58","R$ 2.675,65",,,,,"111.587,65","111.029,67","109.774,54","111.611,12","111.611,12","111.168,32","110.779,91","107.856,37","107.856,37","107.856,37",0,0
204376,Coronel Armando (PL-SC),M,84 dias,4 dias,4 dias,40 reuniões,0 reuniões,1 reuniões,23/06/1957,"R$ 33.763,00",,0,"
		                		
			                	R$ 243.119,72","R$ 12.148,50","R$ 26.826,54","R$ 33.216,85","R$ 48.925,26","R$ 49.749,39","R$ 25.127,17","R$ 20.027,71","R$ 10.975,22","R$ 4.534,03","R$ 9.709,47","R$ 1.879,58",,,"101.236,10","103.071,39","111.201,67","110.216,08","110.773,16","111.095,62","111.269,37","111.508,09","111.508,09","110.157,74",0,0
74537,Claudio Cajado (PP-BA),M,81 dias,10 dias,1 dias,24 reuniões,2 reuniões,1 reuniões,01/12/1963,"R$ 33.763,00",,,"
		                		
			                	R$ 319.967,50","R$ 25.338,77","R$ 40.167,84","R$ 53.444,52","R$ 42.649,60","R$ 27.640,24","R$ 33.006,34","R$ 28.893,21","R$ 31.157,71","R$ 9.849,66","R$ 27.619,61","R$ 200,00",,,"111.538,31","107.663,10","107.365,01","108.851,14","111.611,11","111.611,11","111.611,11","111.611,11","111.611,11","109.134,89",0,0
178843,Marx Beltrão (PP-AL),M,83 dias,6 dias,3 dias,32 reuniões,4 reuniões,24 reuniões,28/11/1979,"R$ 33.763,00",,0,"
		                		
			                	R$ 286.848,74","R$ 43.947,39","R$ 60.863,33","R$ 59.802,08","R$ 39.037,85","R$ 24.587,92","R$ 10.485,07","R$ 8.409,92","R$ 2,48","R$ 198,65","R$ 39.514,05",,,,"111.500,15","105.630,21","108.240,46","111.402,45","111.417,01","111.417,01","111.417,01","111.387,27","111.301,75","111.301,75",0,0
74356,Silas Câmara (REPUBLICANOS-AM),M,68 dias,16 dias,8 dias,14 reuniões,16 reuniões,19 reuniões,15/12/1962,"R$ 33.763,00",,0,"
		                		
			                	R$ 372.291,46","R$ 53.511,75","R$ 30.068,31","R$ 89.746,79","R$ 49.917,31","R$ 26.361,91","R$ 26.004,72","R$ 3.334,78","R$ 49.845,67","R$ 36.031,91","R$ 7.468,31",,,,"110.677,96","110.638,64","109.858,49","104.374,60","104.374,60","105.000,60","106.461,25","107.232,58","107.789,66","107.692,99",0,0
160553,Antonio Brito (PSD-BA),M,92 dias,0 dias,0 dias,9 reuniões,0 reuniões,22 reuniões,17/01/1969,"R$ 33.763,00",,0,"
		                		
			                	R$ 367.577,22","R$ 38.429,43","R$ 62.878,28","R$ 57.315,01","R$ 50.615,34","R$ 39.459,44","R$ 46.092,84","R$ 38.070,01","R$ 25.431,95","R$ 4.766,46","R$ 4.518,46",,,,"111.574,71","111.574,71","111.574,71","111.574,71","111.574,71","111.574,71","109.488,06","111.048,56","111.156,18","111.156,18",0,0
204570,Pastor Gil (PL-MA),M,74 dias,4 dias,14 dias,12 reuniões,3 reuniões,18 reuniões,08/11/1971,"R$ 33.763,00",,0,"
		                		
			                	R$ 316.273,65","R$ 21.687,15","R$ 23.939,17","R$ 27.502,58","R$ 30.200,89","R$ 41.443,63","R$ 96.284,55","R$ 18.286,41","R$ 23.625,66","R$ 20.193,95","R$ 13.109,66",,,,"111.416,98","111.416,98","111.416,98","111.416,98","111.211,51","111.113,67","111.113,67","109.524,41","111.604,98","111.604,98",0,0
207176,Bia Cavassa (PSDB-MS),F,24 dias,0 dias,0 dias,6 reuniões,0 reuniões,1 reuniões,14/01/1969,"R$ 33.763,00",,0,"
		                		
			                	R$ 118.346,87","R$ 27.932,52","R$ 54.694,77","R$ 35.719,58",,,,,,,,,,,"111.562,52","108.746,46","105.904,67","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,0
62881,Danilo Forte (UNIAO-CE),M,86 dias,3 dias,3 dias,42 reuniões,2 reuniões,21 reuniões,01/09/1958,"R$ 33.763,00",,0,"
		                		
			                	R$ 399.293,34","R$ 67.906,91","R$ 48.807,99","R$ 40.578,79","R$ 52.959,10","R$ 80.716,86","R$ 57.550,28","R$ 22.707,17","R$ 9.622,62","R$ 6.546,36","R$ 11.778,36","R$ 118,90",,,"109.573,04","105.109,88","101.753,78","107.930,59","108.735,93","108.600,66","101.671,79","104.239,59","101.843,93","102.801,40",0,0
